"open","high","low","close","volume","date_value","bigger","year"
164.171997,165.542007,157,164.046005,57747500,"2020-05-27","no","2020"
162.701996,164.949997,160.337997,161.162003,36278000,"2020-05-28","no","2020"
161.75,167,160.841995,167,59062500,"2020-05-29","no","2020"
171.600006,179.800003,170.820007,179.619995,74697500,"2020-06-01","no","2020"
178.940002,181.731995,174.199997,176.311996,67828000,"2020-06-02","no","2020"
177.623993,179.587997,176.020004,176.591995,39747500,"2020-06-03","no","2020"
177.975998,179.149994,171.688004,172.876007,44438500,"2020-06-04","no","2020"
175.567993,177.304001,173.240005,177.132004,39059500,"2020-06-05","no","2020"
183.800003,190,181.832001,189.983994,70873500,"2020-06-08","no","2020"
188.001999,190.888,184.785995,188.134003,56941000,"2020-06-09","no","2020"
198.376007,205.496002,196.5,205.009995,92817000,"2020-06-10","no","2020"
198.039993,203.792007,194.399994,194.567993,79582500,"2020-06-11","no","2020"
196,197.595993,182.520004,187.056,83817000,"2020-06-12","no","2020"
183.557999,199.768005,181.699997,198.179993,78486000,"2020-06-15","no","2020"
202.369995,202.576004,192.477997,196.425995,70255500,"2020-06-16","no","2020"
197.542007,201,196.514008,198.358002,49454000,"2020-06-17","no","2020"
200.600006,203.839996,198.893997,200.792007,48759500,"2020-06-18","no","2020"
202.556,203.194,198.268005,200.179993,43398500,"2020-06-19","no","2020"
199.990005,201.776001,198.003998,198.863998,31812000,"2020-06-22","no","2020"
199.776001,202.399994,198.802002,200.356003,31826500,"2020-06-23","no","2020"
198.822006,200.175995,190.628006,192.169998,54798000,"2020-06-24","no","2020"
190.854004,197.195999,187.429993,197.195999,46272500,"2020-06-25","no","2020"
198.955994,199,190.973999,191.947998,44274500,"2020-06-26","no","2020"
193.802002,202,189.703995,201.869995,45132000,"2020-06-29","no","2020"
201.300003,217.537994,200.746002,215.962006,84592500,"2020-06-30","no","2020"
216.600006,227.065994,216.100006,223.925995,66634500,"2020-07-01","yes","2020"
244.296005,245.600006,237.119995,241.731995,86250500,"2020-07-02","yes","2020"
255.337997,275.558014,253.207993,274.31601,102849500,"2020-07-06","yes","2020"
281.002014,285.899994,267.34201,277.971985,107448500,"2020-07-07","yes","2020"
281,283.451996,262.268005,273.175995,81556500,"2020-07-08","yes","2020"
279.39801,281.712006,270.256012,278.855988,58588000,"2020-07-09","yes","2020"
279.200012,309.783997,275.201996,308.929993,116688000,"2020-07-10","yes","2020"
331.799988,358.997986,294.221985,299.411987,194927000,"2020-07-13","yes","2020"
311.200012,318,286.200012,303.359985,117090500,"2020-07-14","yes","2020"
308.600006,310,291.399994,309.201996,81839000,"2020-07-15","yes","2020"
295.432007,306.34201,293.200012,300.127991,71504000,"2020-07-16","yes","2020"
302.690002,307.502014,298,300.167999,46650000,"2020-07-17","yes","2020"
303.802002,330,297.600006,328.600006,85607000,"2020-07-20","yes","2020"
327.985992,335,311.600006,313.671997,80786500,"2020-07-21","yes","2020"
319.799988,325.283997,312.399994,318.466003,70805500,"2020-07-22","yes","2020"
335.790009,337.799988,296.153992,302.614014,121642500,"2020-07-23","yes","2020"
283.201996,293,273.308014,283.399994,96983000,"2020-07-24","yes","2020"
287,309.588013,282.600006,307.920013,80243500,"2020-07-27","yes","2020"
300.799988,312.940002,294.884003,295.298004,79043500,"2020-07-28","yes","2020"
300.200012,306.962006,297.399994,299.821991,47134500,"2020-07-29","yes","2020"
297.600006,302.64801,294.200012,297.497986,38105000,"2020-07-30","yes","2020"
303,303.410004,284.196014,286.152008,61235000,"2020-07-31","yes","2020"
289.839996,301.962006,288.876007,297,44046500,"2020-08-03","yes","2020"
299.002014,305.481995,292.399994,297.399994,42075000,"2020-08-04","yes","2020"
298.597992,299.967987,293.661987,297.003998,24890000,"2020-08-05","yes","2020"
298.165985,303.462006,295.451996,297.915985,29961500,"2020-08-06","yes","2020"
299.90799,299.950012,283.002014,290.541992,44482000,"2020-08-07","yes","2020"
289.600006,291.5,277.167999,283.713989,37611500,"2020-08-10","yes","2020"
279.200012,284,273,274.877991,43129000,"2020-08-11","yes","2020"
294,317,287,310.951996,109494000,"2020-08-12","yes","2020"
322.200012,330.235992,313.451996,324.200012,102126500,"2020-08-13","yes","2020"
332.997986,333.76001,325.328003,330.141998,62888000,"2020-08-14","yes","2020"
335.399994,369.171997,334.56601,367.127991,101211500,"2020-08-17","yes","2020"
379.798004,384.779999,369.022003,377.417999,82372500,"2020-08-18","yes","2020"
373,382.200012,368.242004,375.705994,61026500,"2020-08-19","yes","2020"
372.135986,404.39801,371.411987,400.365997,103059000,"2020-08-20","yes","2020"
408.951996,419.097992,405.01001,409.996002,107448000,"2020-08-21","yes","2020"
425.256012,425.799988,385.503998,402.839996,100318000,"2020-08-24","yes","2020"
394.977997,405.589996,393.600006,404.667999,53294500,"2020-08-25","yes","2020"
412,433.200012,410.726013,430.634003,71197000,"2020-08-26","yes","2020"
436.09201,459.119995,428.5,447.75,118465000,"2020-08-27","yes","2020"
459.023987,463.697998,437.303986,442.679993,100406000,"2020-08-28","yes","2020"
444.609985,500.140015,440.109985,498.320007,118374400,"2020-08-31","yes","2020"
502.140015,502.48999,470.51001,475.049988,90119400,"2020-09-01","yes","2020"
478.98999,479.040009,405.119995,447.369995,96176100,"2020-09-02","yes","2020"
407.230011,431.799988,402,407,87596100,"2020-09-03","yes","2020"
402.809998,428,372.019989,418.320007,110321900,"2020-09-04","yes","2020"
356,368.73999,329.880005,330.209991,115465700,"2020-09-08","yes","2020"
356.600006,369,341.51001,366.279999,79465800,"2020-09-09","yes","2020"
386.209991,398.98999,360.559998,371.339996,84930600,"2020-09-10","yes","2020"
381.940002,382.5,360.5,372.720001,60717500,"2020-09-11","yes","2020"
380.950012,420,373.299988,419.619995,83020600,"2020-09-14","yes","2020"
436.559998,461.940002,430.700012,449.76001,97298200,"2020-09-15","yes","2020"
439.869995,457.790009,435.309998,441.76001,72279300,"2020-09-16","yes","2020"
415.600006,437.790009,408,423.429993,76779200,"2020-09-17","yes","2020"
447.940002,451,428.799988,442.149994,86406800,"2020-09-18","yes","2020"
